Age,Years_of_Experience,Gender,Education Level,Job Title,Salary
53,25,Male,Master's,Director of Marketing,180000
33,5,Female,Bachelor's,Junior Operations Analyst,50000
38,11,Male,Bachelor's,Customer Service Manager,80000
44,16,Female,PhD,Senior Scientist,140000
26,2,Male,Bachelor's,Junior Accountant,40000
37,9,Female,Master's,Senior HR Generalist,95000
45,18,Male,Bachelor's,Sales Operations Manager,110000
32,4,Female,Bachelor's,Marketing Coordinator,50000
34,8,Male,Master's,Senior Software Developer,105000
50,21,Female,Master's,Director of Operations,160000
29,3,Male,Bachelor's,Junior Web Designer,45000
40,12,Female,Master's,Senior Training Specialist,100000
47,22,Male,PhD,Senior Research Scientist,160000
27,1,Male,Bachelor's,Junior Sales Representative,35000
39,10,Female,Bachelor's,Administrative Assistant,55000
46,19,Male,Master's,Senior Project Manager,140000
30,4,Female,Bachelor's,Junior Marketing Manager,50000
36,7,Male,Bachelor's,Junior Data Analyst,60000
43,14,Female,Master's,Senior Product Marketing Manager,120000
28,2,Male,Bachelor's,Junior Business Analyst,40000
41,13,Female,Master's,Senior Marketing Manager,110000
33,5,Male,Bachelor's,Junior Software Developer,50000
47,20,Male,Bachelor's,Senior Sales Manager,135000
25,1.5,Female,Master's,Junior Marketing Specialist,40000
34,8,Male,Bachelor's,Senior Business Analyst,90000
42,16,Female,PhD,Senior Data Scientist,150000
31,4,Male,Bachelor's,Junior Project Manager,60000
38,10,Female,Bachelor's,Senior Accountant,80000
45,19,Male,Master's,Director of Sales,175000
29,3,Female,Bachelor's,Junior Recruiter,45000
36,11,Male,Master's,Senior Business Development Manager,120000
43,18,Female,PhD,Senior Product Designer,140000
26,2,Male,Bachelor's,Junior Customer Support Specialist,35000
37,9,Female,Master's,Senior Marketing Analyst,95000
44,14,Male,Bachelor's,Senior IT Support Specialist,110000
32,5,Female,Bachelor's,Junior Financial Analyst,50000
33,7,Male,Master's,Senior Operations Manager,115000
51,23,Female,PhD,Director of Human Resources,185000
28,2,Male,Bachelor's,Junior Software Engineer,40000
39,12,Female,Bachelor's,Senior Sales Representative,90000
48,21,Male,Master's,Director of Product Management,175000
30,3,Female,Bachelor's,Junior Copywriter,45000
35,7,Male,Bachelor's,Senior Marketing Coordinator,80000
41,13,Female,Master's,Senior Human Resources Manager,120000
27,1.5,Male,Bachelor's,Junior Business Development Associate,35000
40,14,Female,Bachelor's,Senior Account Manager,110000
46,18,Male,PhD,Senior Researcher,150000
31,4,Female,Bachelor's,Junior HR Coordinator,50000
34,9,Male,Master's,Senior Software Engineer,105000
50,20,Female,Master's,Director of Finance,180000
29,2,Male,Bachelor's,Junior Marketing Coordinator,40000
43,16,Male,Bachelor's,Senior Project Manager,140000
26,1.5,Female,Master's,Junior Data Scientist,45000
35,7,Male,Bachelor's,Senior Operations Analyst,85000
42,18,Female,PhD,Senior Marketing Manager,140000
31,4,Male,Bachelor's,Junior Accountant,50000
38,10,Female,Bachelor's,Senior Human Resources Coordinator,80000
46,20,Male,Master's,Director of Operations,170000
29,2,Female,Bachelor's,Junior Sales Representative,40000
37,9,Male,Master's,Senior Business Analyst,105000
44,15,Female,PhD,Senior UX Designer,145000
27,2,Male,Bachelor's,Junior Product Manager,40000
36,8,Female,Bachelor's,Senior Marketing Specialist,85000
43,14,Male,Bachelor's,Senior IT Project Manager,130000
33,6,Female,Master's,Senior Financial Analyst,95000
34,9,Male,Bachelor's,Senior Quality Assurance Analyst,100000
50,22,Female,PhD,Director of Sales and Marketing,180000
28,1.5,Male,Bachelor's,Junior Operations Analyst,35000
39,12,Female,Bachelor's,Senior Account Executive,95000
47,19,Male,Master's,Director of Business Development,170000
30,3,Female,Bachelor's,Junior Social Media Manager,45000
34,7,Male,Bachelor's,Senior Product Manager,95000
40,13,Female,Master's,Senior Human Resources Specialist,120000
28,2,Male,Bachelor's,Junior Business Analyst,40000
41,11,Female,Bachelor's,Senior Marketing Coordinator,90000
45,17,Male,PhD,Senior Data Analyst,155000
32,5,Female,Bachelor's,Junior Account Manager,55000
35,9,Male,Master's,Senior Software Developer,110000
49,21,Female,Master's,Director of Human Capital,180000
30,3,Male,Bachelor's,Junior Advertising Coordinator,45000
44,16,Male,Bachelor's,Senior Sales Manager,130000
27,1.5,Female,Master's,Junior UX Designer,45000
36,7,,Bachelor's,Senior Accountant,90000
41,17,Female,PhD,Senior Marketing Director,160000
31,4,Male,Bachelor's,Junior HR Generalist,50000
39,10,Female,Bachelor's,Senior Operations Manager,120000
47,20,Male,Master's,Director of Finance,170000
30,2,Female,Bachelor's,Junior Marketing Coordinator,40000
38,9,Male,Master's,Senior IT Consultant,110000
45,15,Female,PhD,Senior Product Designer,150000
28,2,Male,Bachelor's,Junior Business Development Associate,40000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
44,14,Male,Bachelor's,Senior Software Engineer,130000
34,6,Female,Master's,Senior Financial Advisor,100000
35,9,Male,Bachelor's,Senior Project Coordinator,95000
50,22,Female,PhD,Director of Operations,180000
29,1.5,Male,Bachelor's,Junior Business Operations Analyst,35000
40,12,Female,Bachelor's,Senior Sales Representative,100000
48,19,Male,Master's,Director of Marketing,170000
31,3,Female,Bachelor's,Junior Social Media Specialist,45000
33,7,Male,Bachelor's,Senior Product Development Manager,100000
42,13,Female,Master's,Senior Human Resources Manager,140000
28,2,Male,Bachelor's,Junior Financial Analyst,40000
40,11,Female,Bachelor's,Senior Marketing Manager,105000
46,18,Male,PhD,Senior Data Scientist,160000
33,5,Female,Bachelor's,Junior Operations Manager,70000
37,9,Male,Master's,Senior Software Architect,120000
51,21,Female,Master's,Director of Human Resources,190000
30,3,Male,Bachelor's,Junior Marketing Specialist,45000
43,15,Male,Bachelor's,Senior Project Manager,120000
27,1.5,Female,Master's,Junior Research Scientist,50000
35,8,Male,Bachelor's,Senior Operations Analyst,85000
42,13,Female,PhD,Senior Marketing Manager,140000
32,3,Male,Bachelor's,Junior Sales Representative,45000
37,9,Female,Bachelor's,Senior Financial Analyst,100000
45,16,Male,Master's,Senior Software Developer,140000
33,5,Female,Bachelor's,Junior Operations Analyst,70000
39,10,Male,Bachelor's,Senior Marketing Specialist,120000
44,18,Female,PhD,Senior HR Manager,160000
29,1.5,Male,Bachelor's,Junior Business Analyst,40000
38,10,Female,Bachelor's,Senior Product Manager,120000
46,19,Male,PhD,Senior Data Analyst,150000
34,6,Female,Bachelor's,Junior Marketing Analyst,70000
36,8,Male,Bachelor's,Senior Operations Manager,95000
49,21,Female,Master's,Director of Marketing,180000
31,3,Male,Bachelor's,Junior Financial Analyst,50000
41,11,Female,Bachelor's,Senior Project Coordinator,95000
47,20,Male,Master's,Director of Operations,170000
30,2,Female,Bachelor's,Junior Marketing Coordinator,40000
38,9,,Master's,Senior IT Consultant,110000
45,15,Female,PhD,Senior Product Designer,150000
28,2,Male,Bachelor's,Junior Business Development Associate,40000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
44,14,Male,Bachelor's,Senior Software Engineer,130000
34,6,Female,Master's,Senior Financial Advisor,100000
35,9,Male,Bachelor's,Senior Project Coordinator,95000
50,22,Female,PhD,Director of Operations,180000
29,1.5,Male,Bachelor's,Junior Business Operations Analyst,350
37,10,Female,Bachelor's,Senior Financial Manager,120000
46,18,Male,PhD,Senior Data Scientist,160000
31,3,Female,Bachelor's,Junior Marketing Coordinator,50000
42,12,Male,Bachelor's,Senior Operations Manager,110000
29,1.5,Female,Bachelor's,Junior Sales Representative,40000
36,8,Male,Bachelor's,Senior Marketing Specialist,95000
44,15,Female,Master's,Senior HR Specialist,140000
33,4,Male,Bachelor's,Junior Operations Manager,60000
39,9,Female,Bachelor's,Senior Marketing Coordinator,110000
45,16,Male,PhD,Senior Data Engineer,150000
32,4,Female,Bachelor's,Junior Marketing Manager,60000
37,8,Male,Bachelor's,Senior Financial Analyst,90000
47,20,Female,Master's,Director of Marketing,180000
30,2,Male,Bachelor's,Junior Business Analyst,40000
38,9,Female,Bachelor's,Senior Project Manager,120000
46,17,Male,PhD,Senior Data Analyst,160000
34,5,Female,Bachelor's,Junior Financial Analyst,70000
36,8,Male,Bachelor's,Senior Product Manager,95000
49,21,Female,Master's,Director of Operations,180000
31,3,Male,Bachelor's,Junior Operations Analyst,50000
41,11,Female,Bachelor's,Senior Project Coordinator,95000
47,19,Male,Master's,Director of Marketing,170000
29,1.5,Female,Bachelor's,Junior Business Development Associate,35000
35,9,Male,Bachelor's,Senior Financial Manager,100000
44,15,Female,PhD,Senior Product Designer,150000
33,4,Male,Bachelor's,Junior Business Analyst,60000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
44,13,Male,Bachelor's,Senior Software Engineer,130000
32,4,Male,Bachelor's,Junior Product Manager,65000
38,10,Female,Bachelor's,Senior Business Analyst,110000
49,21,Male,PhD,Director of Operations,180000
29,2,Female,Bachelor's,Junior Marketing Specialist,40000
35,7,Male,Bachelor's,Senior Business Development Manager,90000
45,14,Female,Master's,Senior HR Manager,140000
33,4,Male,Bachelor's,Junior Financial Analyst,60000
40,12,Female,Bachelor's,Senior Marketing Manager,130000
44,16,Male,PhD,Senior Data Scientist,160000
30,2,Female,Bachelor's,Junior Operations Coordinator,40000
37,9,Male,Bachelor's,Senior Marketing Analyst,100000
48,20,Female,Master's,Director of HR,180000
31,3,Male,Bachelor's,Junior Project Manager,55000
38,,Female,Bachelor's,Senior Operations Coordinator,120000
45,16,Male,PhD,Senior Data Engineer,150000
33,5,Female,Bachelor's,Junior Marketing Manager,70000
36,8,Male,Bachelor's,Senior Business Analyst,95000
49,21,Female,Master's,Director of Marketing,180000
31,3,Male,Bachelor's,Junior Operations Analyst,50000
42,12,Female,Bachelor's,Senior Project Manager,120000
47,19,Male,Master's,Director of Marketing,170000
29,1.5,Female,Bachelor's,Junior Business Development Associate,35000
35,9,Male,Bachelor's,Senior Financial Manager,100000
44,15,Female,PhD,Senior Product Designer,150000
33,4,Male,Bachelor's,Junior Business Analyst,60000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
44,13,,Bachelor's,Senior Software Engineer,130000
34,6,Female,Master's,Senior Financial Advisor,80000
36,8,Male,Bachelor's,Senior Marketing Specialist,95000
30,2,Female,Bachelor's,Junior HR Coordinator,40000
37,10,Male,Bachelor's,Senior Business Development Manager,120000
45,16,Female,Master's,Senior Marketing Manager,160000
32,4,Male,Bachelor's,Junior Financial Advisor,65000
39,12,Female,Bachelor's,Senior Project Manager,130000
47,20,Male,PhD,Director of Engineering,180000
29,2,Female,Bachelor's,Junior Marketing Analyst,40000
36,9,Male,Bachelor's,Senior Operations Manager,100000
43,15,Female,PhD,Senior Data Scientist,150000
32,3,Male,Bachelor's,Junior Marketing Coordinator,55000
38,,Female,Bachelor's,Senior Business Analyst,110000
48,21,Male,Master's,Director of Marketing,180000
31,3,Female,Bachelor's,Junior Business Development Associate,50000
40,12,Male,Bachelor's,Senior Financial Analyst,130000
45,16,Female,PhD,Senior UX Designer,160000
33,4,Male,Bachelor's,Junior Product Manager,60000
36,8,Female,Bachelor's,Senior Marketing Manager,95000
47,19,Male,Master's,Director of Operations,170000
29,2,Female,Bachelor's,Junior Project Manager,40000
34,7,Male,Bachelor's,Senior Operations Coordinator,90000
44,15,Female,PhD,Senior Business Analyst,150000
33,5,Male,Bachelor's,Junior Marketing Specialist,70000
35,8,Female,Bachelor's,Senior Financial Manager,90000
43,18,Male,Master's,Director of Marketing,170000
31,3,Female,Bachelor's,Junior Financial Analyst,50000
41,14,Male,Bachelor's,Senior Product Manager,150000
44,16,Female,PhD,Senior Data Engineer,160000
33,4,Male,Bachelor's,Junior Business Analyst,60000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
45,19,Male,Master's,Director of Engineering,180000
28,1,Female,Bachelor's,Junior Operations Manager,35000
36,8,Male,Bachelor's,Senior Business Development Manager,110000
44,16,Female,PhD,Senior Data Scientist,160000
31,3,Male,Bachelor's,Junior Marketing Coordinator,55000
38,10,Female,Bachelor's,Senior Business Analyst,110000
48,21,Male,Master's,Director of Marketing,180000
31,3,Female,Bachelor's,Junior Business Development Associate,50000
40,12,Male,Bachelor's,Senior Financial Analyst,130000
45,16,Female,PhD,Senior UX Designer,160000
33,4,Male,Bachelor's,Junior Product Manager,60000
36,8,Female,Bachelor's,Senior Marketing Manager,95000
47,19,Male,Master's,Director of Operations,170000
29,2,Female,Bachelor's,Junior Project Manager,40000
34,7,Male,Bachelor's,Senior Operations Coordinator,90000
44,15,Female,PhD,Senior Business Analyst,150000
33,5,Male,Bachelor's,Junior Marketing Specialist,70000
35,8,Female,Bachelor's,Senior Financial Manager,90000
43,18,Male,Master's,Director of Marketing,170000
31,3,Female,Bachelor's,Junior Financial Analyst,50000
41,14,Male,Bachelor's,Senior Product Manager,150000
44,16,Female,PhD,Senior Data Engineer,160000
33,4,Male,Bachelor's,Junior Business Analyst,60000
35,8,Female,Bachelor's,Senior Marketing Analyst,85000
43,19,Male,Master's,Director of Operations,170000
29,2,Female,Bachelor's,Junior Project Manager,40000
34,7,,Bachelor's,Senior Operations Coordinator,90000
44,15,Female,PhD,Senior Business Analyst,150000
